Fichier,Nombre de lignes de code,Densité de commentaires,Nombre de fonctions,Couplage entre les classes,Couverture des tests,Dette technique,Nombre de défauts,Lisibilité du code,Nombre de lignes vides,Nombre de lignes de code en majuscules,Nombre d'occurrences de 'TODO',Méthode Longue,Spaghetti Code,Message Chains,Couplage Élevé,Large Class
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\glide\apkimage\ApkImageDataFetcher.java,70,0.0,0,0,0,0,0,0,13,18,0,1,0,71,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\glide\apkimage\ApkImageModelLoader.java,43,0.0,0,0,0,0,0,0,10,13,0,1,0,44,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\glide\apkimage\ApkImageModelLoaderFactory.java,39,0.0,0,0,0,0,0,0,9,13,0,1,0,40,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\glide\cloudicon\CloudIconDataFetcher.kt,63,0.0,0,0,0,0,0,0,10,16,0,1,0,64,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\glide\cloudicon\CloudIconModelFactory.java,37,0.0,0,0,0,0,0,0,9,13,0,1,0,38,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\glide\cloudicon\CloudIconModelLoader.java,54,0.0,0,0,0,0,0,0,11,13,0,1,0,55,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\holders\AppHolder.kt,62,0.0,0,0,0,0,0,0,13,27,0,1,0,63,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\holders\CompressedItemViewHolder.kt,45,0.0,0,0,0,0,0,0,12,23,0,1,0,46,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\holders\DonationViewHolder.kt,34,0.0,0,0,0,0,0,0,7,21,0,1,0,35,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\holders\EmptyViewHolder.kt,25,0.0,0,0,0,0,0,0,4,13,0,1,0,26,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\holders\HiddenViewHolder.kt,40,0.0,0,0,0,0,0,0,7,18,0,1,0,41,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\holders\ItemViewHolder.kt,64,0.0,0,0,0,0,0,0,18,30,1,1,0,65,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\adapters\holders\SpecialViewHolder.kt,61,0.0,0,0,0,0,0,0,7,24,0,1,0,62,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\application\AppConfig.java,274,0.0,0,0,0,0,0,0,49,22,0,1,0,275,0,1
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\application\GlideApplication.java,32,0.0,0,0,0,0,0,0,5,14,0,1,0,33,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\asynchronous\AbstractRepeatingRunnable.java,45,0.0,0,0,0,0,0,0,10,13,0,1,0,46,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\asynchronous\SaveOnDataUtilsChange.java,60,0.0,0,0,0,0,0,0,13,18,0,1,0,61,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\asynchronous\asynctasks\AsyncTaskResult.java,41,0.0,0,0,0,0,0,0,7,20,0,1,0,42,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\asynchronous\asynctasks\CountItemsOrAndSizeTask.java,88,0.0,0,0,0,0,0,0,19,16,0,1,0,89,0,0
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\asynchronous\asynctasks\DbViewerTask.java,149,0.0,0,0,0,0,0,0,24,19,0,1,0,150,0,1
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\asynchronous\asynctasks\DeleteTask.java,175,0.0,0,0,0,0,0,0,27,28,0,1,0,176,0,1
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\asynchronous\asynctasks\LoadFilesListTask.java,777,0.0,0,0,0,0,0,0,82,62,0,1,0,778,0,1
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\asynchronous\asynctasks\LoadFolderSpaceDataTask.java,128,0.0,0,0,0,0,0,0,30,33,0,1,0,129,0,1
C:/Users/norhe/pfaa\AmazeFileManager\app\src\main\java\com\amaze\filemanager\asynchronous\asynctasks\SearchTextTask.kt,79,0.0,0,0,0,0,0,0,11,13,0,1,0,80,0,0
